REGIONAL;SUPERVISOR;VENDEDOR;ROTA;CNPJ;FANTASIA;FORMA DE PAGAMENTO;SEM COMPRAR?;Nº PEDIDOS; MÉDIA FATURAMENTO LÍQ ; TKT MED ;% MARGEM CONTRIBUIÇÃO;R$ MARGEM DE CONTRIBUIÇÃO;FAIXA;LUCRO MEDIO;LATITUDE;LONGITUDE
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;250 - L82-ITAPAJE-SEDE ;705;MERCADINHO DOIS IRMAOS;A vista  + 10 dias;-;1; R$ 564,38 ; R$ 564,38 ;41,71%; R$ 5.474,45 ;MÁXIMO (ACIMA DE R$ 200; R$ 265,82 ;-3.6841104;-39.5846598
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;PAMELA MARTINS GONCALVES;150 - L81 - AUTO SERVICO 6;709;COMPREMAX - GODOFREDO;30 dias Boleto;-;2; R$ 1.942,43 ; R$ 971,22 ;3,11%; R$ 1.769,26 ;MÁXIMO (ACIMA DE R$ 200; R$ 717,50 ;-3.83265451;-38.58103395
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;250 - L82-ITAPAJE-SEDE ;713;TICO E NEUSA;A vista  + 10 dias;-;2; R$ 307,85 ; R$ 153,93 ;45,53%; R$ 1.045,85 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 148,54 ;-3.6899839;-39.5834389
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;100 - L81 - AUTO SERVICO 1;715;EXITO - PRQ POTIRA III;21 dias Boleto;-;2; R$ 1.397,68 ; R$ 698,84 ;17,02%; R$ 6.059,40 ;MÁXIMO (ACIMA DE R$ 200; R$ 470,16 ;-3.767533;-38.6248232
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;100 - L81 - AUTO SERVICO 1;718;COMPREMAX - JUREMA;30 dias Boleto;-;3; R$ 4.892,22 ; R$ 1.630,74 ;14,29%; R$ 13.816,66 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.935,65 ;-3.77334061;-38.62707738
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;100 - L81 - AUTO SERVICO 1;719;EXITO - PRQ ALBANO;21 dias Boleto;-;2; R$ 2.444,87 ; R$ 1.222,43 ;20,10%; R$ 16.401,89 ;MÁXIMO (ACIMA DE R$ 200; R$ 745,93 ;-3.7594355;-38.6163545
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;250 - L82-ITAPAJE-SEDE ;722;MERCADINHO BARATEIRO;A vista  + 10 dias;-;1; R$ 156,93 ; R$ 156,93 ;51,55%; R$ 1.672,90 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 87,01 ;-3.6927925;-39.6015367
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;255 - L82-IRAUCUBA-SEDE;729;LUCIO FAUSIO;A vista  + 10 dias;-;1; R$ 136,85 ; R$ 136,85 ;49,73%; R$ 1.376,45 ;MÍNIMO (R$ 130 À R$ 150); R$ 67,29 ;-3.7464812;-39.7853882
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;205 - L82-ACARAU-SEDE;737;MERCADINHO TADEU;7 dias Boleto;SIM;0; R$ -   ; R$ -   ;31,28%; R$ 1.160,54 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-2.9154134;-40.121356
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;250 - L82-ITAPAJE-SEDE ;740;SUPERMERCADO OPCAO;A vista  + 10 dias;SIM;0; R$ -   ; R$ -   ;41,40%; R$ 3.527,80 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.6832266;-39.5857879
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;251 - L82-ITAPAJE-DISTRITOS ;741;JOAO MARCIO;7 dias Boleto;SIM;0; R$ -   ; R$ -   ;40,71%; R$ 1.436,05 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.73911734;-39.54297517
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;251 - L82-ITAPAJE-DISTRITOS ;747;MERCEARIA GABRIELE;A vista  + 10 dias;SIM;0; R$ -   ; R$ -   ;47,29%; R$ 795,60 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.7348307;-39.5449187
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;251 - L82-ITAPAJE-DISTRITOS ;751;MERCADINHO CHICO CHAGA;A vista  + 10 dias;-;2; R$ 527,15 ; R$ 263,58 ;43,24%; R$ 3.081,60 ;MÁXIMO (ACIMA DE R$ 200; R$ 227,71 ;-3.7359056;-39.5482539
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;255 - L82-IRAUCUBA-SEDE;757;MERCADINHO EVERALDO;A vista  + 10 dias;-;1; R$ 157,00 ; R$ 157,00 ;41,92%; R$ 921,05 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 76,84 ;-3.7458307;-39.7833989
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;250 - L82-ITAPAJE-SEDE ;760;MECADINHO SAO JOAO;A vista  + 10 dias;-;1; R$ 179,47 ; R$ 179,47 ;43,35%; R$ 1.694,15 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 92,43 ;-3.6874473;-39.5909024
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARIA DANNIELY DOS SANTOS;181 - L82-ITAPIPOCA-AUTO SERVICO;761;ATAKAREJO ECONOMICO;14 dias Boleto;-;3; R$ 5.644,75 ; R$ 1.881,58 ;23,54%; R$ 36.997,21 ;MÁXIMO (ACIMA DE R$ 200; R$ 2.001,82 ;-3.4823318;-39.573865
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;MARCIO RENNE GOMES SANDERS;110 - L81 - AUTO SERVICO 2;762;R CENTER - PRQ SANTA ROSA;28 dias Boleto                                    ;-;1; R$ 2.048,74 ; R$ 2.048,74 ;8,14%; R$ 4.309,86 ;MÁXIMO (ACIMA DE R$ 200; R$ 653,62 ;-3.8119541;-38.5972122
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;100 - L81 - AUTO SERVICO 1;763;VARIEDADES SUPERMERCADOS - LJ 01;21 dias Boleto;-;3; R$ 2.183,96 ; R$ 727,99 ;20,49%; R$ 6.582,87 ;MÁXIMO (ACIMA DE R$ 200; R$ 620,35 ;-3.7654576;-38.65276694
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;251 - L82-ITAPAJE-DISTRITOS ;768;CHIQUINHO DO BAR;A vista  + 10 dias;-;2; R$ 429,37 ; R$ 214,68 ;48,44%; R$ 2.064,85 ;MÁXIMO (ACIMA DE R$ 200; R$ 198,17 ;-3.7361253;-39.5488848
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;255 - L82-IRAUCUBA-SEDE;770;SUPERMERCADO LUIZ MOTA;A vista  + 10 dias;-;2; R$ 512,00 ; R$ 256,00 ;34,45%; R$ 3.767,24 ;MÁXIMO (ACIMA DE R$ 200; R$ 239,20 ;-3.746576;-39.782537
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;100 - L82-PENTECOSTE-SEDE;774;PARA TY - PENTECOSTE;30 dias Boleto;-;2; R$ 5.067,59 ; R$ 2.533,79 ;30,23%; R$ 33.000,78 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.828,70 ;-3.7915416;-39.2712229
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;255 - L82-IRAUCUBA-SEDE;779;MERCANTIL NAYARA;30 dias Boleto;-;2; R$ 4.218,21 ; R$ 2.109,10 ;34,15%; R$ 27.373,46 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.567,48 ;-3.7466038;-39.7828943
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOAO PAULO RODRIGUES DE SOUSA;268 - L82-MASSAPE-SEDE ;780;MERC MOZART;A vista  + 10 dias;-;2; R$ 302,29 ; R$ 151,15 ;13,44%; R$ 624,02 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 51,60 ;-3.5215607;-40.3481112
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;255 - L82-IRAUCUBA-SEDE;786;MERCANTIL CHARLES;A vista  + 10 dias;-;1; R$ 314,67 ; R$ 314,67 ;46,78%; R$ 2.998,53 ;MÁXIMO (ACIMA DE R$ 200; R$ 168,17 ;-3.7463656;-39.7845348
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;255 - L82-IRAUCUBA-SEDE;792;MERCANTIL O DELEGADO;A vista  + 10 dias;SIM;0; R$ -   ; R$ -   ;34,74%; R$ 718,17 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.7475743;-39.7827051
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;MARCIO RENNE GOMES SANDERS;110 - L81 - AUTO SERVICO 2;803;LAREDO - GENIBAU;21 dias Boleto;-;1; R$ 1.540,00 ; R$ 1.540,00 ;24,13%; R$ 9.461,50 ;MÁXIMO (ACIMA DE R$ 200; R$ 527,22 ;-3.7567884;-38.6017086
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;250 - L82-ITAPAJE-SEDE ;805;MERCADINHO O NENEM;A vista  + 10 dias;-;1; R$ 169,20 ; R$ 169,20 ;47,37%; R$ 1.669,45 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 88,58 ;-3.6927925;-39.6015367
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DALTON CRISTIANO BARROS MEDEIROS;130 - L81 - AUTO SERVICO 4;811;SUPER UCHOA - LJ 02;21 dias Boleto;-;1; R$ 305,60 ; R$ 305,60 ;11,18%; R$ 582,16 ;MÁXIMO (ACIMA DE R$ 200; R$ 52,53 ;-3.7518653;-38.54238734
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;RICARDO DE SOUSA LIMA;120 - L81 - AUTO SERVICO 3;815;BENCAO DE DEUS - LUZARDO VIANA;21 dias Boleto;-;3; R$ 1.471,28 ; R$ 490,43 ;23,90%; R$ 6.057,21 ;MÁXIMO (ACIMA DE R$ 200; R$ 565,84 ;-3.8575733;-38.645753
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;115 - L82-TEJUCUOCA-SEDE ;820;MERCADINHO J TRES;A vista  + 10 dias;-;2; R$ 379,35 ; R$ 189,68 ;43,95%; R$ 1.536,25 ;REGULAR (R$ 180 À R$ 200); R$ 192,24 ;-3.988391;-39.5788628
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DALTON CRISTIANO BARROS MEDEIROS;130 - L81 - AUTO SERVICO 4;830;CANTINHO DAS FRUTAS - JACARECANGA;14 dias Boleto;-;2; R$ 1.541,37 ; R$ 770,69 ;26,48%; R$ 8.141,46 ;MÁXIMO (ACIMA DE R$ 200; R$ 513,08 ;-3.706271;-38.574687
