REGIONAL;SUPERVISOR;VENDEDOR;ROTA;CNPJ;FANTASIA;FORMA DE PAGAMENTO;SEM COMPRAR?;Nº PEDIDOS; MÉDIA FATURAMENTO LÍQ ; TKT MED ;% MARGEM CONTRIBUIÇÃO;R$ MARGEM DE CONTRIBUIÇÃO;FAIXA;LUCRO MEDIO;LATITUDE;LONGITUDE
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;220 - L82-MARCO-SEDE ;11532;MERCADINHO SAO MANUEL;7 dias Boleto;SIM;0; R$ -   ; R$ -   ;21,78%; R$ 377,91 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.1226167;-40.1506974
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;RICARDO DE SOUSA LIMA;120 - L81 - AUTO SERVICO 3;11546;ANALI - NOVO MARANGUAPE;21 dias Boleto;NEGOCIAÇÃO;0; R$ -   ; R$ -   ;10,58%; R$ 779,61 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.87590534;-38.67060875
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO VANDESSON DE SOUZA CAMPOS;695 - L82-LIMOEIRO DO NORTE-SEDE;11551;SUPERAMIGOS;30 dias Boleto;-;2; R$ 4.001,38 ; R$ 2.000,69 ;31,19%; R$ 13.079,94 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.441,04 ;-5.14188907;-38.09826387
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;101 - L81 - PEQUENO VAREJO 1;11554;MERCADINHO SUPER FAMILIA;7 dias Boleto;SIM;0; R$ -   ; R$ -   ;31,48%; R$ 763,90 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.67546099;-38.66758906
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;140 - L82-TRAIRI(SEDE)-D2-GUALDRAPAS;11564;MERCADINHO JUNIOR;A vista  + 10 dias;-;1; R$ 600,95 ; R$ 600,95 ;34,76%; R$ 3.561,40 ;MÁXIMO (ACIMA DE R$ 200; R$ 274,54 ;-3.23375847;-39.43213045
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO VANDESSON DE SOUZA CAMPOS;695 - L82-LIMOEIRO DO NORTE-SEDE;11565;SUPERMERCADO QUEIROZ - LIMOEIRO DO NORTE;28 dias Boleto                                    ;-;2; R$ 5.681,35 ; R$ 2.840,68 ;27,92%; R$ 19.610,63 ;MÁXIMO (ACIMA DE R$ 200; R$ 2.017,70 ;-5.1397813;-38.09638898
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO VANDESSON DE SOUZA CAMPOS;685 - L82-RUSSAS-SEDE;11566;SUPERMERCADO QUEIROZ - RUSSAS;28 dias Boleto                                    ;-;2; R$ 3.281,99 ; R$ 1.640,99 ;30,67%; R$ 11.596,67 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.150,08 ;-4.93905179;-37.97517277
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO VANDESSON DE SOUZA CAMPOS;685 - L82-RUSSAS-SEDE;11576;GRANJEIRO - PLANALTO DA CATUMBELA;28 dias Boleto                                    ;SIM;0; R$ -   ; R$ -   ;27,92%; R$ 5.686,54 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-4.94125966;-37.98315425
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO VANDESSON DE SOUZA CAMPOS;685 - L82-RUSSAS-SEDE;11577;GRANJEIRO - CENTRO;28 dias Boleto                                    ;SIM;0; R$ -   ; R$ -   ;27,67%; R$ 7.714,26 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-4.93342179;-37.96831265
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;145 - L82-PARAIPABA(SEDE)+DISTRITOS ;11580;PANIFICADORA VÓ REGINA;A vista  + 10 dias;-;2; R$ 579,90 ; R$ 289,95 ;41,60%; R$ 1.745,30 ;MÁXIMO (ACIMA DE R$ 200; R$ 259,99 ;-3.43812959;-39.14580574
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;LUCAS DE LIMA SILVA;525 - L82-ACARAPE-SEDE ;11589;SUPERMERCADO ALIANCA;21 dias Boleto;SIM;0; R$ -   ; R$ -   ;26,89%; R$ 1.987,60 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-4.22537513;-38.70604064
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;357 - L81 - AS - CENTERBOX 2;11595;CENTERBOX - VITAL BRASIL;30 dias Boleto;-;3; R$ 3.723,85 ; R$ 1.241,28 ;3,35%; R$ 1.047,99 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.114,51 ;-3.77778933;-38.59964399
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO VANDESSON DE SOUZA CAMPOS;715 - L82-MORADA NOVA-SEDE;11598;HIPER MORADA NOVA - GRANVILE;21 dias Boleto;-;2; R$ 3.602,06 ; R$ 1.801,03 ;34,27%; R$ 11.297,91 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.289,53 ;-5.08868899;-38.37617942
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO VANDESSON DE SOUZA CAMPOS;715 - L82-MORADA NOVA-SEDE;11599;HIPER MORADA NOVA - CENTRO;21 dias Boleto;-;2; R$ 7.305,64 ; R$ 3.652,82 ;35,64%; R$ 23.546,74 ;MÁXIMO (ACIMA DE R$ 200; R$ 2.703,40 ;-5.1101802;-38.37053467
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;150 - L82-SGA-SEDE ;11600;PANIFICADORA REI DA EMPADA;A vista  + 10 dias;-;1; R$ 295,50 ; R$ 295,50 ;38,13%; R$ 1.711,99 ;MÁXIMO (ACIMA DE R$ 200; R$ 136,88 ;-3.60013548;-38.96195641
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO VANDESSON DE SOUZA CAMPOS;695 - L82-LIMOEIRO DO NORTE-SEDE;11605;SUPERMERCADO NOVA OPCAO;21 dias Boleto;NEGOCIAÇÃO;0; R$ -   ; R$ -   ;30,83%; R$ 4.402,44 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-5.15204763;-38.09693134
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;210 - L82-CRUZ-SEDE;11606;MERCADINHO MENEZES;A vista  + 10 dias;-;1; R$ 194,83 ; R$ 194,83 ;42,41%; R$ 387,55 ;REGULAR (R$ 180 À R$ 200); R$ 100,25 ;-2.92442252;-40.179094
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;349 - L81 - AS - MATEUS;11622;MATEUS - CAUCAIA;Transferencia 45 dias;-;6; R$ 22.675,13 ; R$ 3.779,19 ;18,24%; R$ 47.869,20 ;MÁXIMO (ACIMA DE R$ 200; R$ 5.862,07 ;-3.76132708;-38.61643438
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;RAMON BARBOSA ROCHA;465 - L82-CASCAVEL-SEDE;11641;RAIMAR - CASCAVEL;21 dias Boleto;-;2; R$ 1.335,51 ; R$ 667,76 ;20,93%; R$ 2.337,47 ;MÁXIMO (ACIMA DE R$ 200; R$ 424,33 ;-4.13404804;-38.2389217
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;207 - L82-ACARAU-BR 403;11642;FRIGORIFICO DS FRIOS;7 dias Boleto;-;1; R$ 149,25 ; R$ 149,25 ;46,37%; R$ 485,70 ;MÍNIMO (R$ 130 À R$ 150); R$ 67,14 ;-3.00264059;-40.13011982
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;200 - L82-ITAREMA-SEDE ;11643;FRUTARIA ZILDA;A vista  + 10 dias;-;1; R$ 156,19 ; R$ 156,19 ;23,73%; R$ 713,40 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 57,71 ;-2.91984848;-39.91971779
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DALTON CRISTIANO BARROS MEDEIROS;130 - L81 - AUTO SERVICO 4;11645;SUPER LUA - AREIA BRANCA;28 dias Boleto                                    ;-;3; R$ 2.135,70 ; R$ 711,90 ;40,55%; R$ 4.984,96 ;MÁXIMO (ACIMA DE R$ 200; R$ 844,65 ;-3.72712807;-38.47527325
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;180 - L82-ITAPIPOCA-VAREJO;11649;FRIGORIFICO VIDAL;14 dias Boleto;SIM;0; R$ -   ; R$ -   ;39,13%; R$ 758,40 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.4991217;-39.583675
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;101 - L81 - PEQUENO VAREJO 1;11651;MERCADINHO ARATURI;A vista;-;2; R$ 285,91 ; R$ 142,95 ;32,67%; R$ 842,42 ;MÍNIMO (R$ 130 À R$ 150); R$ 114,75 ;-3.76348683;-38.6404932
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;240 - L82-CRUZ-PREA;11653;JERI HORTIMERCADO;21 dias Boleto;SIM;0; R$ -   ; R$ -   ;-20,45%;-R$ 652,92 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-2.82728239;-40.35889989
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;PAMELA MARTINS GONCALVES;150 - L81 - AUTO SERVICO 6;11658;SUPERMERCADO MAIS COMPRAS - LOJA 02;7 dias Boleto;SIM;0; R$ -   ; R$ -   ;0,00%; R$ -   ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.84367626;-38.52296669
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;301 - L82-CANINDE-SEDE ;11661;SUPERMERCADO MINI PRECO;A vista  + 10 dias;-;1; R$ 133,85 ; R$ 133,85 ;43,57%; R$ 596,45 ;MÍNIMO (R$ 130 À R$ 150); R$ 73,04 ;-4.35591097;-39.31700152
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FRANCISCO ENNIO ANDRADE RICARTE;358 - L82-IPAPORANGA-SEDE;11662;MERCADO POPULAR;7 dias Boleto;-;1; R$ 190,00 ; R$ 190,00 ;46,72%; R$ 897,60 ;REGULAR (R$ 180 À R$ 200); R$ 118,33 ;-4.9058061;-40.76319873
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;101 - L81 - PEQUENO VAREJO 1;11666;MERCADINHO BOM PREÇO;7 dias Boleto;-;1; R$ 224,00 ; R$ 224,00 ;38,25%; R$ 709,90 ;MÁXIMO (ACIMA DE R$ 200; R$ 86,35 ;-3.76979132;-38.6548591
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;RAMON BARBOSA ROCHA;505 - L82-HORIZONTE-SEDE ;11668;MERCADAO TEND TUDO - HORIZONTE;28 dias Boleto                                    ;-;2; R$ 2.517,94 ; R$ 1.258,97 ;27,88%; R$ 9.157,01 ;MÁXIMO (ACIMA DE R$ 200; R$ 653,79 ;-4.09811933;-38.49447155
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;PAMELA MARTINS GONCALVES;150 - L81 - AUTO SERVICO 6;11669;MERCADAO TEND TUDO - LAGOA REDONDA;28 dias Boleto                                    ;-;3; R$ 4.038,95 ; R$ 1.346,32 ;23,89%; R$ 6.502,36 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.381,52 ;-3.83076563;-38.46236181
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;100 - L82-PENTECOSTE-SEDE;11674;HORTIFRUTI GRANJEIROS - PENTECOSTE;7 dias Boleto;-;2; R$ 467,85 ; R$ 233,93 ;38,41%; R$ 1.529,08 ;MÁXIMO (ACIMA DE R$ 200; R$ 213,73 ;-3.79271073;-39.27241754
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;RAMON BARBOSA ROCHA;505 - L82-HORIZONTE-SEDE ;11688;RAIMAR - HORIZONTE (PLANALTO);21 dias Boleto;-;2; R$ 2.148,15 ; R$ 1.074,07 ;21,75%; R$ 4.135,16 ;MÁXIMO (ACIMA DE R$ 200; R$ 632,37 ;-4.10824227;-38.4869392
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;JOAO PAULO RODRIGUES DE SOUSA;265 - L82-SOBRAL-VAREJO;11702;R. FRIOS;21 dias Boleto;SIM;0; R$ -   ; R$ -   ;38,76%; R$ 9.822,20 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.66300184;-40.39136576
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;MARCIO RENNE GOMES SANDERS;110 - L81 - AUTO SERVICO 2;11703;SUPERMERCADO VAREJAO - NOVO MONDUBIM;28 dias Boleto                                    ;-;2; R$ 847,16 ; R$ 423,58 ;20,48%; R$ 2.815,01 ;MÁXIMO (ACIMA DE R$ 200; R$ 323,14 ;-3.81078567;-38.58550379
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;LUCILA RODRIGUES GALVAO;355 - L82-IPUEIRAS-SEDE;11704;SUPERMERCADO DOIS IRMAOS - IPUEIRAS (FRANCISCO PAZ);28 dias Boleto                                    ;-;2; R$ 3.960,50 ; R$ 1.980,25 ;-32,20%;-R$ 12.833,71 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.460,34 ;-4.54700576;-40.72282401
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;100 - L82-PENTECOSTE-SEDE;11714;PADARIA DELICIAS DA VOVO;A vista  + 10 dias;-;2; R$ 324,72 ; R$ 162,36 ;45,25%; R$ 1.512,30 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 152,99 ;-3.81155365;-39.26135447
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;100 - L82-PENTECOSTE-SEDE;11715;PADARIA KADOSH;A vista  + 10 dias;-;1; R$ 272,02 ; R$ 272,02 ;40,48%; R$ 1.001,18 ;MÁXIMO (ACIMA DE R$ 200; R$ 123,87 ;-3.79412245;-39.25970301
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;207 - L82-ACARAU-BR 403;11727;PICOLE HORTIFRUTI;14 dias Boleto;-;2; R$ 1.916,45 ; R$ 958,22 ;31,49%; R$ 4.365,39 ;MÁXIMO (ACIMA DE R$ 200; R$ 625,12 ;-3.1251894;-40.08417113
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;349 - L81 - AS - MATEUS;11733;MATEUS - JOSE WALTER;Transferencia 45 dias;-;6; R$ 40.423,26 ; R$ 6.737,21 ;16,52%; R$ 54.298,67 ;MÁXIMO (ACIMA DE R$ 200; R$ 9.929,32 ;-3.8207176;-38.55885136
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;101 - L81 - PEQUENO VAREJO 1;11736;EMPORIO DO QUEIJO;A vista;-;2; R$ 347,50 ; R$ 173,75 ;33,17%; R$ 1.309,20 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 135,81 ;-3.7619405;-38.6195665
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;FABRICIO GALDENCIO BRAGA;140 - L81 - AUTO SERVICO 5;11743;SUPER PORTUGAL- SAPIRANGA;30 dias Boleto;-;2; R$ 3.572,09 ; R$ 1.786,04 ;19,12%; R$ 6.113,48 ;MÁXIMO (ACIMA DE R$ 200; R$ 951,05 ;-3.79508034;-38.47443215
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;FABRICIO GALDENCIO BRAGA;141 - L81 - PEQUENO VAREJO 5;11745;MERCADINHO POMAR;A vista;-;2; R$ 365,65 ; R$ 182,83 ;43,70%; R$ 1.056,70 ;REGULAR (R$ 180 À R$ 200); R$ 167,52 ;-3.77711471;-38.51701088
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARIA DANNIELY DOS SANTOS;181 - L82-ITAPIPOCA-AUTO SERVICO;11747;DATERRA - ITAPIPOCA;30 dias Boleto;-;4; R$ 11.020,49 ; R$ 2.755,12 ;22,37%; R$ 24.391,25 ;MÁXIMO (ACIMA DE R$ 200; R$ 3.520,10 ;-3.4872707;-39.5696645
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;100 - L81 - AUTO SERVICO 1;11751;SUPER PRECO BOM - JUREMA;28 dias Boleto                                    ;-;2; R$ 925,24 ; R$ 462,62 ;17,95%; R$ 735,49 ;MÁXIMO (ACIMA DE R$ 200; R$ 387,97 ;-3.76521089;-38.6473003
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO VANDESSON DE SOUZA CAMPOS;705 - L82-TABULEIRO DO NORTE-SEDE ;11758;ESTRELA ATACADISTA;14 dias Boleto;-;1; R$ 415,76 ; R$ 415,76 ;27,67%; R$ 1.148,36 ;MÁXIMO (ACIMA DE R$ 200; R$ 158,21 ;-5.24180637;-38.13348712
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO ERALDO BRITO FELIX;301 - L82-CANINDE-SEDE ;11774;SUPERMERCADO GELADAO- CANIDE;14 dias Boleto;SIM;0; R$ -   ; R$ -   ;41,07%; R$ 915,90 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-4.35732774;-39.30661626
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;390 - L81 - AS - COMETA 3;11775;COMETA (BARAO DO RIO BRANCO);Transferencia 50 dias;-;2; R$ 6.090,19 ; R$ 3.045,09 ;18,04%; R$ 5.978,35 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.896,00 ;-3.73996838;-38.53237147
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;180 - L82-ITAPIPOCA-VAREJO;11786;MERCADINHO E PADARIA PAO NOSSO;A vista  + 10 dias;-;1; R$ 237,85 ; R$ 237,85 ;43,49%; R$ 892,50 ;MÁXIMO (ACIMA DE R$ 200; R$ 107,69 ;-3.47036356;-39.55459757
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO PEREIRA DOS ANJOS JUNIOR;665 - L82-ICAPUI-SEDE;11787;MERCADINHO FREITAS;14 dias Boleto;-;2; R$ 3.666,42 ; R$ 1.833,21 ;32,48%; R$ 10.024,73 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.420,96 ;-4.65777117;-37.45334692
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO PEREIRA DOS ANJOS JUNIOR;665 - L82-ICAPUI-SEDE;11788;MERCADINHO RKR;A vista  + 10 dias;-;1; R$ 204,10 ; R$ 204,10 ;47,87%; R$ 922,90 ;MÁXIMO (ACIMA DE R$ 200; R$ 109,26 ;-4.64684827;-37.47859835
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO PEREIRA DOS ANJOS JUNIOR;665 - L82-ICAPUI-SEDE;11789;MERCADINHO AROLDO;14 dias Boleto;-;2; R$ 502,67 ; R$ 251,34 ;27,25%; R$ 1.639,30 ;MÁXIMO (ACIMA DE R$ 200; R$ 129,37 ;-4.69234481;-37.38288892
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO PEREIRA DOS ANJOS JUNIOR;665 - L82-ICAPUI-SEDE;11790;MERCANTIL M SENHOR;7 dias Boleto;-;1; R$ 295,53 ; R$ 295,53 ;43,42%; R$ 1.403,26 ;MÁXIMO (ACIMA DE R$ 200; R$ 132,06 ;-4.7119465;-37.35627689
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO PEREIRA DOS ANJOS JUNIOR;665 - L82-ICAPUI-SEDE;11791;MERCADINHO ALMEIDA;7 dias Boleto;-;1; R$ 309,95 ; R$ 309,95 ;38,25%; R$ 1.055,94 ;MÁXIMO (ACIMA DE R$ 200; R$ 117,94 ;-4.73000553;-37.32657173
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO PEREIRA DOS ANJOS JUNIOR;665 - L82-ICAPUI-SEDE;11792;MERCADINHO DALILA;A vista  + 10 dias;-;2; R$ 353,87 ; R$ 176,93 ;41,55%; R$ 1.341,08 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 169,07 ;-4.66899933;-37.42415964
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO PEREIRA DOS ANJOS JUNIOR;675 - L82-JAGUARUANA-SEDE;11793;SUPERMERCADO LALA - JUAZEIRO;21 dias Boleto;-;2; R$ 1.108,89 ; R$ 554,45 ;13,10%; R$ 1.391,13 ;MÁXIMO (ACIMA DE R$ 200; R$ 470,04 ;-4.84595845;-37.78504674
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO PEREIRA DOS ANJOS JUNIOR;675 - L82-JAGUARUANA-SEDE;11794;SUPERMERCADO LALA - CENTRO;21 dias Boleto;-;2; R$ 2.783,11 ; R$ 1.391,55 ;21,99%; R$ 4.694,60 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.148,59 ;-4.83626803;-37.78333399
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;205 - L82-ACARAU-SEDE;11795;JRS COMERCIO;21 dias Boleto;-;4; R$ 3.150,00 ; R$ 787,50 ;37,47%; R$ 8.630,00 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.365,63 ;-2.89762847;-40.12092333
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;FELIPE JUNIOR ALVES DE FREITAS;205 - L82-ACARAU-SEDE;11796;PONTO DAS FRUTAS;14 dias Boleto;-;2; R$ 640,81 ; R$ 320,40 ;26,80%; R$ 1.686,12 ;MÁXIMO (ACIMA DE R$ 200; R$ 187,12 ;-2.88799066;-40.11946819
LATICINIO - INTERIOR;VALNEY LOIOLA ALBUQUERQUE;MARCIO JOSE PEREIRA BARBOSA;250 - L82-ITAPAJE-SEDE ;11798;MERCANTIL OPCAO;14 dias Boleto;-;1; R$ 548,00 ; R$ 548,00 ;45,69%; R$ 1.805,10 ;MÁXIMO (ACIMA DE R$ 200; R$ 264,71 ;-3.68322497;-39.58580513
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;FABRICIO GALDENCIO BRAGA;140 - L81 - AUTO SERVICO 5;11802;SEMPRE AKI - LJ01;28 dias Boleto                                    ;-;2; R$ 1.647,47 ; R$ 823,73 ;26,35%; R$ 3.430,61 ;MÁXIMO (ACIMA DE R$ 200; R$ 561,34 ;-3.81862096;-38.52271133
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;FABRICIO GALDENCIO BRAGA;140 - L81 - AUTO SERVICO 5;11803;SEMPRE AKI - LJ02;28 dias Boleto                                    ;-;2; R$ 3.640,93 ; R$ 1.820,47 ;27,60%; R$ 6.562,25 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.083,83 ;-3.83641402;-38.52142461
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;FABRICIO GALDENCIO BRAGA;140 - L81 - AUTO SERVICO 5;11804;SEMPRE AKI - LJ03;28 dias Boleto                                    ;-;2; R$ 3.997,89 ; R$ 1.998,95 ;26,94%; R$ 6.354,59 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.153,00 ;-3.81623338;-38.53127553
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;RAMON BARBOSA ROCHA;495 - L82-PACAJUS-SEDE ;11805;MERCADINHO QUEIROZ;A vista  + 10 dias;SIM;0; R$ -   ; R$ -   ;47,47%; R$ 280,70 ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-4.1829351;-38.45458853
LATICINIO - FORTALEZA;MARCOS ANTONIO GONCALVES MAGALHAES;MARCOS ANTONIO GONCALVES MAGALHAES;372 - L81 - AS - COMETA 2;11809;COMETA (JOAO XXIII);Transferencia 50 dias;-;2; R$ 3.983,08 ; R$ 1.991,54 ;8,64%; R$ 2.875,93 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.250,56 ;-3.77305558;-38.57358276
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;FRANCISCO PEREIRA DOS ANJOS JUNIOR;675 - L82-JAGUARUANA-SEDE;11818;SUPER CESTA BASICA;14 dias Boleto;-;2; R$ 762,13 ; R$ 381,07 ;19,88%; R$ 1.209,52 ;MÁXIMO (ACIMA DE R$ 200; R$ 332,32 ;-4.84637265;-37.78286297
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;PAMELA MARTINS GONCALVES;151 - L81 - PEQUENO VAREJO 6;11821;COMERCIAL DE ALIMENTOS SOUSA LTDA;A vista;SIM;0; R$ -   ; R$ -   ;0,00%; R$ -   ;ABAIXO DO MÍNIMO (R$ 0 À R$ 130); R$ -   ;-3.83215508;-38.5545027
LATICINIO - INTERIOR;LUIZ EDMILSON CARDOSO DA COSTA;CAIO MAGALHAES VIANA;141 - L82-TRAIRI-PRAIAS;11832;PARA TY - FLECHEIRAS;30 dias Boleto;-;2; R$ 1.673,88 ; R$ 836,94 ;31,09%; R$ 4.531,28 ;MÁXIMO (ACIMA DE R$ 200; R$ 535,18 ;-3.22002687;-39.27005807
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DENIS FERNANDES DA COSTA;100 - L81 - AUTO SERVICO 1;11844;COMPREMAX - CONJ NOVA METROPOLE;30 dias Boleto;-;3; R$ 5.092,36 ; R$ 1.697,45 ;19,66%; R$ 6.536,59 ;MÁXIMO (ACIMA DE R$ 200; R$ 1.863,90 ;-3.76944093;-38.65433696
LATICINIO - FORTALEZA;JOAO NAZARENO AIRES BARBOSA;DALTON CRISTIANO BARROS MEDEIROS;131 - L81 - PEQUENO VAREJO 4;11849;MERCADINHO VERA;A vista;-;2; R$ 335,10 ; R$ 167,55 ;42,35%; R$ 641,70 ;ACIMA DO MÍNIMO (R$ 150 À R$ 180); R$ 169,82 ;-3.7133513;-38.6029616
